Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
|| زهراء ||,@_zahraamhmd,2024-05-03T19:32:20.000Z,False,"القلبُ الصّافي، ليس بحاجة لدعاء المئة صفحة
يكفي فقط أن يرفع العبد كفّيه .. ويبتسم ..",0,1,17,270,[],[],[],https://pbs.twimg.com/profile_images/1703077090977865728/dKIdxOCJ_normal.jpg,https://twitter.com/_zahraamhmd/status/1786478919295668650,tweet_id:1786478919295668650
Paul • Crypto,@Paul_Crypto_,2024-05-03T01:03:51.000Z,True,450?,0,0,0,2K,[],[],[],https://pbs.twimg.com/profile_images/1748361043993083904/ajsxZ-rb_normal.jpg,https://twitter.com/Paul_Crypto_/status/1786199960813457756,tweet_id:1786199960813457756
Daily jk praise ,@dailyjkpraise,2024-05-03T14:07:54.000Z,True,#JUNGKOOK a true gen z icon: a thread,34,4.1K,30K,762K,['#JUNGKOOK'],[],[],https://pbs.twimg.com/profile_images/1736653209102630912/zX1qKfGZ_normal.jpg,https://twitter.com/dailyjkpraise/status/1786397274265821321,tweet_id:1786397274265821321
TOP 100,@TOP100KPOP,2024-05-04T13:00:00.000Z,True,"TOP 65: Most-Followed K-POP Groups On Instagram

1. BTS (74,7M)",27,745,2.8K,29K,[],[],[],https://pbs.twimg.com/profile_images/1478891712454049793/3aHoqDa8_normal.jpg,https://twitter.com/TOP100KPOP/status/1786742575342244112,tweet_id:1786742575342244112
About Music,@AboutMusicYT,2024-05-03T14:30:00.000Z,True,Biggest debuts of kpop artists on Spotify counter this year:,390,4.3K,20K,708K,[],[],[],https://pbs.twimg.com/profile_images/1540698201862221826/KBYc2_F8_normal.jpg,https://twitter.com/AboutMusicYT/status/1786402836982669727,tweet_id:1786402836982669727
Paul • Crypto,@Paul_Crypto_,2024-05-03T00:42:16.000Z,True,500?,1,0,0,1.5K,[],[],[],https://pbs.twimg.com/profile_images/1748361043993083904/ajsxZ-rb_normal.jpg,https://twitter.com/Paul_Crypto_/status/1786194529034572275,tweet_id:1786194529034572275
Lebanon Mirror News site,@LebanonMirror,2024-05-02T21:25:11.000Z,False,أنفلونزا في الحليب.. هل نشهد جائحة جديدة؟#انفلونزا #صحة,0,0,0,54,"['#انفلونزا', '#صحة']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786144931079168448,tweet_id:1786144931079168448
العتبة العلوية المقدسة,@imamalinet,2024-05-03T10:04:56.000Z,False,صَدَق الحزنُ بفقدِ الصادق . . . فقدُهُ أورى شِغافَ القلبِ نارا,8,108,642,8.4K,[],[],[],https://pbs.twimg.com/profile_images/1775639414133100544/DQLespoo_normal.jpg,https://twitter.com/imamalinet/status/1786336130922635611,tweet_id:1786336130922635611
Paul • Crypto,@Paul_Crypto_,2024-05-02T16:10:24.000Z,True,#BlockDAG is the world's most advanced layer 1 blockchain which now hosts a staggering 2 Million $ #Giveaway Keynote - http://blockdag.network/keynoteGIVEAWAY - http://blockdag.network/giveaway Share Keynote + RTComplete tasksFollow and like our page,1,50,45,29K,"['#BlockDAG', '#Giveaway']",[],"['\\u203c\\ufe0f', '\\u203c\\ufe0f', '\\u2714\\ufe0f', '\\u2714\\ufe0f', '\\u2714\\ufe0f', '\\U0001f310']",https://pbs.twimg.com/profile_images/1748361043993083904/ajsxZ-rb_normal.jpg,https://twitter.com/Paul_Crypto_/status/1786065716443062395,tweet_id:1786065716443062395
Lebanon Mirror News site,@LebanonMirror,2024-05-03T21:24:32.000Z,False,اليكم تسعيرة دولار السوق السوداء عند الاغلاق!,0,0,1,58,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786507158240084121,tweet_id:1786507158240084121
BIGHIT MUSIC,@BIGHIT_MUSIC,2024-05-02T15:00:04.000Z,True,#RM #RightPlaceWrongPerson Concept Photo 2,924,59K,125K,1.5M,"['#RM', '#RightPlaceWrongPerson']",[],[],https://pbs.twimg.com/profile_images/1377078197813092352/s8NryGbR_normal.jpg,https://twitter.com/BIGHIT_MUSIC/status/1786048013393416406,tweet_id:1786048013393416406
بنت فاطمة,@Rsw510,2024-05-03T01:18:37.000Z,False,"""إِلَهي بـ غُربةِ جَعفر بن مُحَمَّد الصّادق ""عليهِ
السّلام"" ، بلَوعته، بحُرقةِ قلبه، بدموعه،
عَجّل لِوَليِّكَ الفَرَج"".",3,46,202,6.7K,[],[],[],https://pbs.twimg.com/profile_images/1776002861941297152/z0X1vspP_normal.jpg,https://twitter.com/Rsw510/status/1786203677776097465,tweet_id:1786203677776097465
Paul • Crypto,@Paul_Crypto_,2024-05-02T02:16:07.000Z,True,"$30 | 12 HOURS

- RT & Follow  + RT pinned post",314,618,107,22K,[],['@MetaloungeNFT'],[],https://pbs.twimg.com/profile_images/1748361043993083904/ajsxZ-rb_normal.jpg,https://twitter.com/Paul_Crypto_/status/1785855761928814594,tweet_id:1785855761928814594
Lebanon Mirror News site,@LebanonMirror,2024-05-03T19:12:56.000Z,False,“هيدا سعركم وسدّوا بوزكم”… منشور “ناري” من السيد!,0,0,0,40,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786474036823777669,tweet_id:1786474036823777669
★,@jjkdiaries,2024-05-03T17:54:40.000Z,False,"-Howl is jungkook but Ghibli edition !!- 
                                        -a short thread-",16,2.2K,12K,187K,[],[],[],https://pbs.twimg.com/profile_images/1783822191462625281/7c3I7ixx_normal.jpg,https://twitter.com/jjkdiaries/status/1786454343547318636,tweet_id:1786454343547318636
Kpop Charts,@kchartsmaster,2024-05-04T06:36:52.000Z,True,"Most streamed Boygroups on MelOn history:

1. #BTS 13.05B
2. #EXO 8.45B
3. #SEVENTEEN 4.38B
4. #BIGBANG 3.37B
5. #WannaOne 2.97B
6. #BTOB 2.29B
7. #NCTDREAM 2.09B
8. #WINNER 1.92B
9. ",281,3.2K,9.2K,317K,"['#BTS', '#EXO', '#SEVENTEEN', '#BIGBANG', '#WannaOne', '#BTOB', '#NCTDREAM', '#WINNER', '', '']",[],[],https://pbs.twimg.com/profile_images/1284991246356946951/FbR600WF_normal.jpg,https://twitter.com/kchartsmaster/status/1786646157432672322,tweet_id:1786646157432672322
Lebanon Mirror News site,@LebanonMirror,2024-05-03T09:56:29.000Z,False,ما جديد رخص السوق؟! #لبنان #النافعة,0,0,0,64,"['#لبنان', '#النافعة']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786334004418953391,tweet_id:1786334004418953391
Paul • Crypto,@Paul_Crypto_,2024-05-03T03:01:12.000Z,True,600 here!,0,0,0,1.7K,[],[],[],https://pbs.twimg.com/profile_images/1748361043993083904/ajsxZ-rb_normal.jpg,https://twitter.com/Paul_Crypto_/status/1786229492220109169,tweet_id:1786229492220109169
Lebanon Mirror News site,@LebanonMirror,2024-05-03T06:42:15.000Z,False,4 مشروبات ستغير حياتك… نصائح مفيدة لحرق الدهون في أسبوع!,0,0,0,52,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786285122045575339,tweet_id:1786285122045575339
YOONGI'S CHOPSTICKS⁷ᴿᴾᵂᴾ WITH BTS TILL THE END,@shanayasksksks,2024-05-04T06:20:32.000Z,False,BTS pictures you might haven't seen before a thread ,20,1.6K,10K,206K,[],[],['\\U0001f9f5'],https://pbs.twimg.com/profile_images/1783540120089763840/VSjbzxDI_normal.jpg,https://twitter.com/shanayasksksks/status/1786642047019241511,tweet_id:1786642047019241511
Lebanon Mirror News site,@LebanonMirror,2024-05-03T09:38:17.000Z,False,تذاكر طيران مزورة في بيروت…إليكم ما جرى! #لبنان #بيروت,0,0,0,54,"['#لبنان', '#بيروت']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786329422418571621,tweet_id:1786329422418571621
ᆞᆞ,@TheJulyLady,2024-05-02T19:01:18.000Z,False,ربّي لبّيكَ. ,0,1,9,323,[],[],['\\U0001f90d'],https://pbs.twimg.com/profile_images/1786497321619836928/W82g7U0K_normal.jpg,https://twitter.com/TheJulyLady/status/1786108724278435909,tweet_id:1786108724278435909
Lebanon Mirror News site,@LebanonMirror,2024-05-03T20:04:25.000Z,False,“ديل” كبير… وإنسحاب “الرضوان”؟,0,0,0,43,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786486996401111255,tweet_id:1786486996401111255
Lebanon Mirror News site,@LebanonMirror,2024-05-02T21:24:21.000Z,False,زهران يكشف جديد موقوفي التيك توك!#تيك_توك #تيكتوك #لبنان #زهران,0,0,0,100,"['#تيك_توك', '#تيكتوك', '#لبنان', '#زهران']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786144722005688570,tweet_id:1786144722005688570
